package,stars,downloads,gallery,description,CRAN
ggplot2,NA,156775829,NA,Create Elegant Data Visualisations Using the Grammar of Graphics,TRUE
ggrepel,1228,22913717,TRUE,Automatically Position Non-Overlapping Text Labels with 'ggplot2',TRUE
cowplot,712,17471340,TRUE,Streamlined Plot Theme and Plot Annotations for 'ggplot2',TRUE
ggpubr,1154,15930745,TRUE,'ggplot2' Based Publication Ready Plots,TRUE
ggsci,676,11857498,TRUE,Scientific Journal and Sci-Fi Themed Color Palettes for 'ggplot2',TRUE
ggsignif,597,11800808,TRUE,Significance Brackets for 'ggplot2',TRUE
patchwork,2504,7395639,TRUE,NA,NA
ggmap,NA,7240065,NA,Spatial Visualization with ggplot2,TRUE
GGally,594,6592194,TRUE,Extension to 'ggplot2',TRUE
ggthemes,1326,6113137,TRUE,"Extra Themes, Scales and Geoms for 'ggplot2'",TRUE
ggforce,918,5059383,TRUE,Accelerating 'ggplot2',TRUE
ggridges,414,4735988,TRUE,Ridgeline Plots in 'ggplot2',TRUE
tidytext,NA,3932841,NA,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",TRUE
ggraph,1083,3575365,TRUE,An Implementation of Grammar of Graphics for Graphs and Networks,TRUE
ggtext,657,3213014,TRUE,Improved Text Rendering Support for 'ggplot2',TRUE
hrbrthemes,1252,2957441,TRUE,"Additional Themes, Theme Components and Utilities for 'ggplot2'",TRUE
ggfortify,528,2854971,TRUE,Data Visualization Tools for Statistical Analysis Results,TRUE
waterfalls,NA,2581050,NA,Create Waterfall Charts using 'ggplot2' Simply,TRUE
survminer,521,2328470,TRUE,Drawing Survival Curves using 'ggplot2',TRUE
ggdendro,NA,1800589,NA,Create Dendrograms and Tree Diagrams Using 'ggplot2',TRUE
ggeffects,NA,1776243,NA,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs,TRUE
ggcorrplot,189,1732099,TRUE,Visualization of a Correlation Matrix using 'ggplot2',TRUE
ggplotify,NA,1550983,NA,Convert Plot to 'grob' or 'ggplot' Object,TRUE
ggfun,NA,1417836,NA,Miscellaneous Functions for 'ggplot2',TRUE
ggstance,201,1404927,TRUE,Horizontal 'ggplot2' Components,TRUE
ggbeeswarm,546,1319169,TRUE,Categorical Scatter (Violin Point) Plots,TRUE
ggplot2movies,NA,1271205,NA,Movies Data,TRUE
ggfittext,306,1264320,TRUE,Fit Text Inside a Box in 'ggplot2',TRUE
ggformula,38,1254983,TRUE,Formula Interface to the Grammar of Graphics,TRUE
ggstats,35,1225690,TRUE,Extension to 'ggplot2' for Plotting Stats,TRUE
aplot,NA,1204208,NA,Decorate a 'ggplot' with Associated Information,TRUE
gganimate,1958,1188135,TRUE,A Grammar of Animated Graphics,TRUE
treemapify,215,1013967,TRUE,Draw Treemaps in 'ggplot2',TRUE
ggnewscale,410,970059,TRUE,Multiple Fill and Colour Scales in 'ggplot2',TRUE
ggvis,NA,943118,NA,Interactive Grammar of Graphics,TRUE
ggExtra,385,890575,TRUE,"Add Marginal Histograms to 'ggplot2', and More 'ggplot2' Enhancements",TRUE
ggiraph,817,834696,TRUE,Make 'ggplot2' Graphics Interactive,TRUE
ggdist,857,796136,TRUE,Visualizations of Distributions and Uncertainty,TRUE
ggpmisc,102,786521,TRUE,Miscellaneous Extensions to 'ggplot2',TRUE
egg,NA,738854,NA,"Extensions for 'ggplot2': Custom Geom, Custom Themes, Plot
Alignment, Labelled Panels, Symmetric Scales, and Fixed Panel
Size",TRUE
see,897,698169,TRUE,Model Visualisation Toolbox for 'easystats' and 'ggplot2',TRUE
heatmaply,NA,673649,NA,Interactive Cluster Heat Maps Using 'plotly' and 'ggplot2',TRUE
esquisse,1791,645153,TRUE,NA,NA
ggalluvial,506,640026,TRUE,Alluvial Plots in 'ggplot2',TRUE
ggstatsplot,2070,605329,TRUE,'ggplot2' Based Plots with Statistical Details,TRUE
ggpp,127,573543,TRUE,Grammar Extensions to 'ggplot2',TRUE
ggspatial,NA,572109,NA,Spatial Data Framework for ggplot2,TRUE
directlabels,82,564451,TRUE,NA,NA
ggalt,670,496539,TRUE,"Extra Coordinate Systems, 'Geoms', Statistical Transformations, Scales and Fonts for 'ggplot2'",TRUE
ggrastr,220,472806,TRUE,Rasterize Layers for 'ggplot2',TRUE
ggimage,NA,472537,NA,Use Image in 'ggplot2',TRUE
qqplotr,51,445797,TRUE,Quantile-Quantile Plot Extensions for 'ggplot2',TRUE
plotROC,87,374063,TRUE,NA,NA
ggmosaic,168,341829,TRUE,Mosaic Plots in the 'ggplot2' Framework,TRUE
ggnetwork,147,316288,TRUE,Geometries to Plot Networks with 'ggplot2',TRUE
ggh4x,602,301258,TRUE,Hacks for 'ggplot2',TRUE
gghighlight,NA,296260,NA,Highlight Lines and Points in 'ggplot2',TRUE
ggiraphExtra,NA,285452,NA,Make Interactive 'ggplot2'. Extension to 'ggplot2' and 'ggiraph',TRUE
lemon,187,278678,TRUE,Freshing Up your 'ggplot2' Plots,TRUE
ggside,345,271246,TRUE,Side Grammar Graphics,TRUE
thematic,NA,240277,NA,"Unified and Automatic 'Theming' of 'ggplot2', 'lattice', and
'base' R Graphics",TRUE
ggtern,NA,235590,NA,"An Extension to 'ggplot2', for the Creation of Ternary Diagrams",TRUE
ggVennDiagram,NA,212683,NA,A 'ggplot2' Implement of Venn Diagram,TRUE
ggdag,441,209403,TRUE,Analyze and Create Elegant Directed Acyclic Graphs,TRUE
gggenes,524,203110,TRUE,Draw Gene Arrow Maps in 'ggplot2',TRUE
ggwordcloud,174,197417,TRUE,A Word Cloud Geom for 'ggplot2',TRUE
ggplot.multistats,NA,192000,NA,Multiple Summary Statistics for Binned Stats/Geometries,TRUE
ggpattern,364,188029,TRUE,'ggplot2' Pattern Geoms,TRUE
ggprism,NA,164700,NA,A 'ggplot2' Extension Inspired by 'GraphPad Prism',TRUE
tidyterra,187,163099,TRUE,'tidyverse' Methods and 'ggplot2' Helpers for 'terra' Objects,TRUE
gghalves,244,161408,TRUE,Compose Half-Half Plots Using Your Favourite Geoms,TRUE
ggvenn,NA,160590,NA,Draw Venn Diagram by 'ggplot2',TRUE
ggpol,105,155905,TRUE,Visualizing Social Science Data with 'ggplot2',TRUE
ggbreak,133,155241,TRUE,Set Axis Break for 'ggplot2',TRUE
ggResidpanel,NA,154677,NA,Panels and Interactive Versions of Diagnostic Plots using 'ggplot2',TRUE
ggsurvfit,3,153818,TRUE,Flexible Time-to-Event Figures,TRUE
ggupset,354,146817,TRUE,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,TRUE
ggseqlogo,211,146750,TRUE,A 'ggplot2' Extension for Drawing Publication-Ready Sequence Logos,TRUE
ggThemeAssist,NA,136864,NA,Add-in to Customize 'ggplot2' Themes,TRUE
AMR,91,131085,TRUE,NA,NA
RcmdrPlugin.KMggplot2,NA,130783,NA,R Commander Plug-in for Data Visualization with 'ggplot2',TRUE
ggquickeda,NA,128729,NA,Quickly Explore Your Data Using 'ggplot2' and 'table1' Summary Tables,TRUE
gratia,NA,127689,NA,"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",TRUE
ggseas,74,115920,TRUE,'stats' for Seasonal Adjustment on the Fly with 'ggplot2',TRUE
ggraptR,NA,113355,NA,Allows Interactive Visualization of Data Through a Web Browser GUI,TRUE
ggeasy,274,102896,TRUE,Easy Access to 'ggplot2' Commands,TRUE
geomtextpath,629,102895,TRUE,Curved Text in 'ggplot2',TRUE
ggRandomForests,NA,101781,NA,Visually Exploring Random Forests,TRUE
ggplot2.utils,NA,101416,NA,Selected Utilities Extending 'ggplot2',TRUE
gginnards,24,100087,TRUE,Explore the Innards of 'ggplot2' Objects,TRUE
ggedit,250,99419,TRUE,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,TRUE
ggjoy,NA,96517,NA,Joyplots in 'ggplot2',TRUE
jcolors,NA,95128,NA,"Colors Palettes for R and 'ggplot2', Additional Themes for
'ggplot2'",TRUE
gge,NA,94590,NA,Genotype Plus Genotype-by-Environment Biplots,TRUE
geofacet,340,89193,TRUE,'ggplot2' Faceting Utilities for Geographical Data,TRUE
ggpointdensity,422,82034,TRUE,A Cross Between a 2D Density Plot and a Scatter Plot,TRUE
ggplotgui,NA,79527,NA,Create Ggplots via a Graphical User Interface,TRUE
xkcd,NA,78576,NA,Plotting ggplot2 Graphics in an XKCD Style,TRUE
ggdark,199,78185,TRUE,Dark Mode for 'ggplot2' Themes,TRUE
ggpolypath,NA,76602,NA,Polygons with Holes for the Grammar of Graphics,TRUE
ggokabeito,NA,71879,NA,'Okabe-Ito' Scales for 'ggplot2' and 'ggraph',TRUE
ggspectra,5,70673,TRUE,Extensions to 'ggplot2' for Radiation Spectra,TRUE
ggparty,147,69569,TRUE,'ggplot' Visualizations for the 'partykit' Package,TRUE
sugrrants,82,67691,TRUE,NA,NA
ComplexUpset,486,67062,TRUE,Create Complex UpSet Plots Using 'ggplot2' Components,TRUE
ggparallel,NA,63663,NA,Variations of Parallel Coordinate Plots for Categorical Data,TRUE
ggQC,46,62113,TRUE,Quality Control Charts for 'ggplot',TRUE
ggstar,100,61415,TRUE,Multiple Geometric Shape Point Layer for 'ggplot2',TRUE
ggbiplot,NA,61084,NA,A Grammar of Graphics Implementation of Biplots,TRUE
lindia,104,57301,TRUE,NA,NA
ichimoku,31,56925,TRUE,NA,NA
ggplotAssist,NA,55742,NA,'RStudio' Addin for Teaching and Learning 'ggplot2',TRUE
autoplotly,88,54677,TRUE,NA,NA
bdscale,NA,51099,NA,Remove Weekends and Holidays from ggplot2 Axes,TRUE
ggtangle,NA,50958,NA,Draw Network with Data,TRUE
jskm,NA,50712,NA,Kaplan-Meier Plot with 'ggplot2',TRUE
